Generation,Indiv,Father,Mother,gvNormUnres1,EBV
1,250,0,0,0.5560113856,1.04560056955145
1,251,0,0,0.8916535293,0.638019265076334
1,252,0,0,-1.1681492958,-1.44730077603298
1,253,0,0,0.1281692146,-0.57222203060832
1,254,0,0,0.7231095719,1.32036578855702
1,255,0,0,0.8953411105,1.54467854026625
1,256,0,0,0.2278678508,0.0781678241729433
1,257,0,0,0.4044167034,0.543599506081195
1,258,0,0,0.1374309698,0.0235696954432098
1,259,0,0,-0.0157297008,0.854715064233515
1,260,0,0,-1.3483960772,-1.03250110237347
1,261,0,0,-0.5275725948,-0.144111106761867
1,262,0,0,-1.1048374216,-0.514708221228206
1,263,0,0,0.6792222644,0.773304075730981
1,264,0,0,-1.3532017016,-0.959337239222957
1,265,0,0,1.5094245153,0.96558067618968
1,266,0,0,-0.2262755493,-0.881131246368555
1,267,0,0,0.5518976336,0.582592948863726
1,268,0,0,0.5602591136,1.27467902565418
1,269,0,0,0.5333324721,0.55420469458255
1,270,0,0,-0.0265693853,-0.560242236759516
1,271,0,0,0.7440810247,0.257240654032768
1,272,0,0,1.3218586016,1.62798584430058
1,273,0,0,-0.2083544438,-0.523055764135772
1,274,0,0,0.3324261921,0.196753731678677
1,275,0,0,0.4764799232,0.255977633669887
1,276,0,0,0.2169776046,0.418832933352139
1,277,0,0,-0.3875252463,-0.788205623781588
1,278,0,0,0.2012347774,-0.0188827382106029
1,279,0,0,-0.1845690088,0.236360306114534
1,280,0,0,-1.3495947638,-1.23830033385618
1,281,0,0,0.3281859563,0.468474540370438
1,282,0,0,-0.3688751286,-0.874263021731701
1,283,0,0,-0.3838810194,-0.161329695141986
1,284,0,0,-0.1931462443,0.292444648073963
1,285,0,0,-0.1399046877,-0.0209017166556411
1,286,0,0,-0.0933999517,-0.160403720492787
1,287,0,0,0.9620099924,1.45268486408194
1,288,0,0,0.7570087227,0.757962275099012
1,289,0,0,-0.2131456818,-0.809441606086419
1,290,0,0,-0.1513359479,-0.584054885704185
1,291,0,0,0.3096168297,0.19897812372477
1,292,0,0,0.4106716293,-0.138628865559653
1,293,0,0,0.4280036335,0.512223375053104
1,294,0,0,0.3879038672,0.630574714855134
1,295,0,0,-1.261036536,-1.01852569256623
1,296,0,0,-0.1074501016,0.0717795256061885
1,297,0,0,1.1115440734,0.911307923091171
1,298,0,0,0.2400620302,-0.17926292570464
1,299,0,0,0.5392145531,0.501873449492548
1,300,0,0,-0.2074684474,0.0297776373677654
1,301,0,0,0.4236444094,-0.244299125257682
1,302,0,0,1.1802424617,0.937796124662377
1,303,0,0,1.0325916717,1.26678348719584
1,304,0,0,-0.3197360526,-0.570966188082266
1,305,0,0,-1.4830608438,-1.70144434529481
1,306,0,0,-0.3787762021,-0.730621035477726
1,307,0,0,-1.7043496202,-0.735255848476744
1,308,0,0,0.344240332,0.307743106868519
1,309,0,0,0.3824150869,0.466480700602712
1,310,0,0,-0.2384213457,0.0582186687973347
1,311,0,0,0.1065535104,1.0828271833554
1,312,0,0,0.4227568939,0.00143258666614787
1,313,0,0,0.7065816568,0.438729871237965
1,314,0,0,0.2578033636,0.331514274526765
1,315,0,0,-0.7198534824,-1.17180093745286
1,316,0,0,-0.7735420921,-0.456909450902465
1,317,0,0,0.4746402298,0.544493953994362
1,318,0,0,-0.8153741888,-1.04639884591499
1,319,0,0,0.2835607162,0.442290071928193
1,320,0,0,1.3900132913,0.798890856309211
1,321,0,0,0.3857819471,0.582046580067235
1,322,0,0,0.4752527337,-0.23539586356454
1,323,0,0,-0.1923785432,-0.0245033722295744
1,324,0,0,0.5024553398,1.17095448218609
1,325,0,0,0.5168994056,0.592890326265369
1,326,0,0,-0.4034330613,-0.433600337433337
1,327,0,0,1.1645236692,1.40259852215951
1,328,0,0,-0.4112152108,0.11530342344605
1,329,0,0,0.4680454729,0.358892682669626
1,330,0,0,-1.018817586,-1.37525395223009
1,331,0,0,-0.2076495958,0.047589430920277
1,332,0,0,-0.4558689246,-0.496708377726791
1,333,0,0,-0.3783677339,-0.0820578589369141
1,334,0,0,0.9337258409,1.45613232419663
1,335,0,0,0.0579873807,0.118223555729194
1,336,0,0,-0.1144804389,-0.566578149686496
1,337,0,0,1.3620033207,0.8586207846244
1,338,0,0,-0.060689424,0.514412136914974
1,339,0,0,0.4495001736,-0.0601649468234908
1,340,0,0,-0.2956035193,-0.53726724480796
1,341,0,0,0.4927017816,0.548476401539366
1,342,0,0,-0.6689134901,-0.509602611271252
1,343,0,0,0.9041333924,0.846626815360343
1,344,0,0,0.9599382329,0.637696776576179
1,345,0,0,-0.5343667401,0.126147719566943
1,346,0,0,0.4727164432,0.052921803760299
1,347,0,0,-0.0782414343,0.268109874794533
1,348,0,0,-0.6282008814,-0.613491444100342
1,349,0,0,0.4147874629,0.764723821761557
1,350,0,0,-1.0706751937,-0.834657767712698
1,351,0,0,-0.2737257823,0.219052583142031
1,352,0,0,0.756147298,1.37475086825788
1,353,0,0,-0.234845005,-0.533811576871473
1,354,0,0,-0.7363336461,-1.06186541933079
1,355,0,0,0.0222367403,-0.253537419968492
1,356,0,0,0.5478259417,0.267837602078076
1,357,0,0,-0.4784791902,-0.360281084449747
1,358,0,0,-0.3667264515,0.0829987314210273
1,359,0,0,0.2375722194,0.224855541911008
1,360,0,0,-1.4209962911,-1.4016081692252
1,361,0,0,-0.1105962356,0.464692930840173
1,362,0,0,1.1231421405,0.862740887412431
1,363,0,0,-0.2051037234,-0.143794390245298
1,364,0,0,-0.4033931925,0.182946641798809
1,365,0,0,-0.1819196984,-1.31295080199277
1,366,0,0,-0.0668469692,-0.0706720936091232
1,367,0,0,-0.8137826399,-0.966015199762245
1,368,0,0,0.0192679495,-0.0472530937815705
1,369,0,0,0.8638023762,1.22175406336444
1,370,0,0,0.0266223428,-0.215442793761177
1,371,0,0,0.1063436815,-0.473816169569486
1,372,0,0,-0.3285926279,-0.985957059035428
1,373,0,0,-1.5271583928,-1.7380058860143
1,374,0,0,-0.2193014114,-0.107918293947352
1,375,0,0,-1.568630847,-1.91981509765454
1,376,0,0,0.7772641478,1.04454701259424
1,377,0,0,-1.6011144426,-0.607439383634362
1,378,0,0,-0.4631173946,0.0774236262941393
1,379,0,0,-0.2801360647,0.311909319796129
1,380,0,0,1.0821101606,0.887959734634875
1,381,0,0,-0.8135990672,-0.787504410970364
1,382,0,0,-0.1663941332,-0.588166223521473
1,383,0,0,0.7981984234,0.0653132294690654
1,384,0,0,0.3296515711,0.307230267659695
1,385,0,0,0.8836700918,0.695637497811923
1,386,0,0,-0.8514642962,-1.12555117899653
1,387,0,0,0.5425532104,0.643157479444221
1,388,0,0,1.2981487601,1.36167816677296
1,389,0,0,0.4010557419,-0.0448843860185612
1,390,0,0,-0.3536409931,-0.967349950014918
1,391,0,0,0.6887320394,1.25401894468313
1,392,0,0,0.435958633,0.372002515770047
1,393,0,0,0.319447189,-0.0169736782690689
1,394,0,0,0.6491972678,1.57653994491873
1,395,0,0,0.1700456347,0.199839409682571
1,396,0,0,0.6849963299,0.253760472842009
1,397,0,0,-0.4416236798,-0.329172630258604
1,398,0,0,1.1601433109,1.15573196802312
1,399,0,0,1.7101126223,1.67530773741711
1,400,0,0,-1.0732225064,-0.902391559230803
1,401,0,0,-0.5166431199,-0.985754812723138
1,402,0,0,0.8159007795,0.638241127627081
1,403,0,0,0.546083138,0.299815269075302
1,404,0,0,-0.1675865864,0.464458057141777
1,405,0,0,0.8667675899,1.00435828066526
1,406,0,0,0.95996707,0.882350840907738
1,407,0,0,0.8842752395,1.60049307558225
1,408,0,0,-0.8764318663,-0.810766777372188
1,409,0,0,-1.2048305597,-0.421898775085586
1,410,0,0,0.3443873985,0.320169358704521
1,411,0,0,-0.7420421988,-0.211840935865833
1,412,0,0,0.7209287953,1.33532995070481
1,413,0,0,0.5938342028,1.48346076040417
1,414,0,0,0.317407415,1.00402727520049
1,415,0,0,0.6037610618,0.452913118248032
1,416,0,0,1.3786299759,1.20614264855085
1,417,0,0,-0.5085437904,-0.213740731576686
1,418,0,0,-0.2748621417,-1.51716173483276
1,419,0,0,0.0448461822,0.335868961787592
1,420,0,0,-0.735144133,-0.314516608750023
1,421,0,0,-1.7859555954,-1.81017208332472
1,422,0,0,-0.0622684217,-0.00482308684179517
1,423,0,0,-1.0531848076,-0.825166298052271
1,424,0,0,-1.0972256979,-1.31829053410661
1,425,0,0,0.2478817997,0.519791247758222
1,426,0,0,0.5874955367,0.0751406117376016
1,427,0,0,0.578496105,0.336762712363222
1,428,0,0,0.1397350946,0.937286491250546
1,429,0,0,0.5330243958,0.451754837923244
1,430,0,0,0.3566964569,0.393131795786805
1,431,0,0,0.4272333884,0.975547205170863
1,432,0,0,-0.1063233725,0.145718373510886
1,433,0,0,0.8572912627,1.61202615065929
1,434,0,0,0.3725677255,0.777755469087248
1,435,0,0,-0.6929133744,-1.31971484683897
1,436,0,0,0.8929446668,0.307940605888654
1,437,0,0,1.093928253,0.956157099555837
1,438,0,0,0.612209593,1.07206805380211
1,439,0,0,0.2308252769,-0.0210369127541851
1,440,0,0,-0.1987660892,-0.601331199651653
1,441,0,0,-1.6951975356,-0.910570369624461
1,442,0,0,0.3896708209,0.501071183992134
1,443,0,0,0.5597076478,0.509744416022181
1,444,0,0,-1.034901306,-1.17632780203246
1,445,0,0,-0.0091895601,0.188053866207956
1,446,0,0,0.2239395233,-0.403914817266349
1,447,0,0,0.9272309882,0.252007473603165
1,448,0,0,-0.3504992599,0.24091721510571
1,449,0,0,0.740988202,0.401093173953663
1,450,0,0,0.4239038366,0.772270197117146
1,451,0,0,0.1192767195,-0.466242898451537
1,452,0,0,0.7736637102,0.22333667634864
1,453,0,0,0.5455222811,0.264030423742051
1,454,0,0,1.1604327909,1.0568258839596
1,455,0,0,0.2238550381,0.0164056156826562
1,456,0,0,-1.2074876708,-0.908197015023865
1,457,0,0,-0.7006775659,-0.236886989424599
1,458,0,0,0.1611625831,-0.264576449455692
1,459,0,0,0.3142199424,0.660572647563165
1,460,0,0,0.0861301125,-0.645193892843884
1,461,0,0,-0.3213406913,-0.508304459389211
1,462,0,0,0.066048509,-0.122034442198997
1,463,0,0,-0.8843536123,-0.605105786531355
1,464,0,0,1.2899237131,1.42625937476428
1,465,0,0,-0.3060433572,0.305663876744799
1,466,0,0,-1.0685275102,-0.491846040716606
1,467,0,0,-0.7683757896,-1.16869838847176
1,468,0,0,0.6469378583,0.138974759752404
1,469,0,0,0.2395840785,-0.544064118355791
1,470,0,0,0.0809003598,0.135035533678365
1,471,0,0,-0.244116359,-0.695331704920324
1,472,0,0,0.4176324474,-0.0864815767859483
1,473,0,0,-0.402206082,-0.221492671032451
1,474,0,0,0.758372522,0.471081420959237
1,475,0,0,0.7858853184,0.741015326382873
1,476,0,0,-0.0917684196,-0.608964315734098
1,477,0,0,0.5231072481,0.953785191494009
1,478,0,0,-0.6749035067,-0.503897574810166
1,479,0,0,1.5627686972,1.6718073732129
1,480,0,0,1.0576429376,1.73564036725188
1,481,0,0,-0.4835547105,0.0433595957918101
1,482,0,0,-0.43311871,-0.195201168635324
1,483,0,0,-1.3525135652,-1.08594275525641
1,484,0,0,1.1512463029,0.705039733661412
1,485,0,0,1.0895999894,1.24475617829723
1,486,0,0,0.6148929829,-0.175878928743198
1,487,0,0,0.1200091104,0.667911554440698
1,488,0,0,0.8524424844,0.383810234818965
1,489,0,0,-0.9727484894,-0.659362071531965
1,490,0,0,-0.3333716178,-0.112123379624636
1,491,0,0,1.3250832901,1.00145660691784
1,492,0,0,-0.268989846,-0.308894227605882
1,493,0,0,-1.2586576554,-0.589446471299227
1,494,0,0,0.6053653871,0.71019346342275
1,495,0,0,0.4993443262,0.154709410942807
1,496,0,0,-0.8185040307,-0.624887555079211
1,497,0,0,0.6881015836,1.09907972650966
1,498,0,0,0.9106433312,1.00117109864618
1,499,0,0,0.5394455973,0.832294314568758
1,500,0,0,-0.3119031694,-0.120927958719401
1,501,0,0,1.7812441777,1.3212173800869
1,502,0,0,0.1230606039,-0.067874757277835
1,503,0,0,1.0257885443,1.22134396857477
1,504,0,0,-0.4258031179,-1.30547529455205
1,505,0,0,-0.0095959547,0.11332926484117
1,506,0,0,0.2951045077,0.315203186643861
1,507,0,0,0.332529189,-0.607044969073797
1,508,0,0,1.2062154673,1.73806336514888
1,509,0,0,-1.1855727321,-1.21949348018387
1,510,0,0,0.8675050522,1.31983164072006
1,511,0,0,-1.705844664,-1.37904653369167
1,512,0,0,0.2146702667,-0.415916377026759
1,513,0,0,0.2446149166,-0.789487300521043
1,514,0,0,0.6968705976,0.293580775539519
1,515,0,0,-0.0866943341,-0.482807771109477
1,516,0,0,-0.5635479128,-0.688236517904895
1,517,0,0,-0.1084480269,-0.820917746699228
1,518,0,0,0.9485216915,1.61915916974001
1,519,0,0,0.1092127348,-0.695308554384285
1,520,0,0,-0.5084591031,-0.999260531816166
1,521,0,0,-0.0221966009,0.548585698189732
1,522,0,0,0.4032053205,0.739225719887063
1,523,0,0,-0.3343561002,-0.500038740715462
1,524,0,0,0.1248659817,0.0597145668800215
1,525,0,0,0.8096370401,0.199521699964005
1,526,0,0,0.5705074635,0.0476204267763127
1,527,0,0,0.9080160686,0.780924842438347
1,528,0,0,0.437799984,0.0334934449347311
1,529,0,0,0.3668929629,1.07016018615629
1,530,0,0,-0.1043927934,-0.30200283244776
1,531,0,0,-0.6977360519,-0.252042175265069
1,532,0,0,1.5554434399,1.29958457340537
1,533,0,0,0.0839887682,-0.0651415643538292
1,534,0,0,1.1795025593,0.939005910384733
1,535,0,0,-0.2408256008,-0.237032125572766
1,536,0,0,0.6612786461,0.712245056811613
1,537,0,0,0.2202463091,-0.0907330616650336
1,538,0,0,0.8016598129,1.52276761003315
1,539,0,0,-0.7056241538,-0.552962098222506
1,540,0,0,-0.0557168852,0.25349670732559
1,541,0,0,0.2197236339,0.0167939058537918
1,542,0,0,-0.5852555857,-0.908097176812152
1,543,0,0,-0.7611146533,-0.8057873731013
1,544,0,0,-0.1409545442,-0.655305749541862
1,545,0,0,1.4984654606,1.27140370748161
1,546,0,0,0.7672271763,0.557685396656294
1,547,0,0,0.0342619608,0.231331913831315
1,548,0,0,0.6599909481,0.965733969774474
1,549,0,0,-0.6209776321,-0.596330120509723
1,550,0,0,-0.3732964503,-0.489629532149724
1,551,0,0,0.2578843397,0.142350927501149
1,552,0,0,-1.0628859772,-1.71171623836867
1,553,0,0,0.1331986697,0.0722811283938702
1,554,0,0,-0.0407122058,0.324495501503692
1,555,0,0,-0.7915770258,-0.92621275222605
1,556,0,0,0.0051590306,0.0249565896158682
1,557,0,0,0.4159740779,0.506380981503622
1,558,0,0,-1.0231769379,-2.47508887118304
1,559,0,0,-0.0944426835,-0.124397345105732
1,560,0,0,-1.6926617438,-1.01285461951741
1,561,0,0,-0.4313305671,-1.74239827350449
1,562,0,0,-0.220622916,0.594121554163561
1,563,0,0,0.9895091459,1.58249810445826
1,564,0,0,0.5499066793,0.779957269155195
1,565,0,0,-0.351367511,-0.735945475043641
1,566,0,0,0.0344088917,0.466288500510739
1,567,0,0,0.4573796143,0.746972523390075
1,568,0,0,-0.5556466497,-0.0353474276691909
1,569,0,0,-0.874929689,-0.270068120831819
1,570,0,0,0.8511735777,0.414715794465313
1,571,0,0,0.658246163,0.412726308860884
1,572,0,0,0.1719433161,0.247578118043473
1,573,0,0,0.5694250553,-0.0219040862126949
1,574,0,0,-0.0739672665,-0.394466272031374
1,575,0,0,-0.2668420489,-0.273092809047153
1,576,0,0,-0.414378592,-0.103909350932833
1,577,0,0,0.9805823468,0.802464839805009
1,578,0,0,0.2388938341,-0.206688070772688
1,579,0,0,0.9919681618,0.626433691520395
1,580,0,0,0.6337249468,0.314226083484444
